Code;Libellé;Médiane du revenu disponible par UC 2018;Part des revenus d'activité 2018;
01187;Haut Valromey;21820;N/A
01188;Illiat;22470;N/A
01189;Injoux-Génissiat;27020;N/A
01190;Innimond;N/A;N/A
01191;Izenave;22970;N/A
01192;Izernore;22680;82.6
01193;Izieu;24260;N/A
01194;Jassans-Riottier;22630;74.5
01195;Jasseron;24550;N/A
01196;Jayat;22100;N/A
01197;Journans;25200;N/A
01198;Joyeux;24220;N/A
01199;Jujurieux;21940;N/A
01200;Labalme;22240;N/A
01202;Lagnieu;22430;74.4
01203;Laiz;23080;N/A
01204;Le Poizat-Lalleyriat;25310;N/A
01206;Lantenay;24790;N/A
01207;Lapeyrouse;27950;N/A
01208;Lavours;20770;N/A
01209;Léaz;29950;N/A
01210;Lélex;23990;N/A
01211;Lent;23640;N/A
01212;Lescheroux;20990;N/A
01213;Leyment;23240;N/A
01214;Leyssard;24020;N/A
01215;Surjoux-Lhopital;25290;N/A
01216;Lhuis;22060;N/A
01219;Lompnas;18410;N/A
01224;Loyettes;22070;80.9
01225;Lurcy;25080;N/A
01227;Magnieu;23370;N/A
01228;Maillat;25070;N/A
01229;Malafretaz;22720;N/A
01230;Mantenay-Montlin;19880;N/A
01231;Manziat;23180;74.9
01232;Marboz;23180;69.9
01233;Marchamp;24480;N/A
01234;Marignieu;23140;N/A
01235;Marlieux;22350;N/A
01236;Marsonnas;22510;N/A
01237;Martignat;22180;N/A
01238;Massieux;26610;82.5
01239;Massignieu-de-Rives;23340;N/A
01240;Matafelon-Granges;23990;N/A
01241;Meillonnas;24470;N/A
01242;Mérignat;16380;N/A
01243;Messimy-sur-Saône;25620;N/A
01244;Meximieux;23240;80.9
01245;Bohas-Meyriat-Rignat;23550;N/A
01246;Mézériat;22520;70.1
01247;Mijoux;29130;N/A
01248;Mionnay;27690;86.4
01249;Miribel;24990;79.5
01250;Misérieux;25830;N/A
01252;Mogneneins;25100;N/A
01254;Montagnat;26020;79.1
01255;Montagnieu;21840;N/A
01257;Montanges;27200;N/A
01258;Montceaux;25550;N/A
01259;Montcet;24200;N/A
01260;Le Montellier;26640;N/A
01261;Monthieux;27400;N/A
01262;Montluel;22480;80.1
01263;Montmerle-sur-Saône;24360;74.6
01264;Montracol;23510;N/A
01265;Montréal-la-Cluse;19940;75.4
01266;Montrevel-en-Bresse;21460;63.3
01267;Nurieux-Volognat;23630;N/A
01268;Murs-et-Gélignieux;23100;N/A
01269;Nantua;17490;70.9
01272;Neuville-les-Dames;21820;N/A
01273;Neuville-sur-Ain;22180;N/A
01274;Les Neyrolles;20180;N/A
01275;Neyron;29180;78.5
01276;Niévroz;26170;N/A
01277;Nivollet-Montgriffon;24560;N/A
01279;Oncieu;N/A;N/A
01280;Ordonnaz;21460;N/A
01281;Ornex;35440;91.2
01282;Outriaz;25420;N/A
01283;Oyonnax;17620;68.2
01284;Ozan;22100;N/A
01285;Parcieux;28160;N/A
01286;Parves et Nattages;25510;N/A
01288;Péron;37100;91.4
